trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
38,201.2626,251.3115,301.3194,351.3095,401.3446,1.0000,28.1105,30.4686,35.3754,42.8639,43.3596,44.5353,59.3247,77.9724,1000000.0000
39,201.8590,251.9069,301.9309,351.9129,401.9498,1.0000,12.2164,21.2854,21.4859,43.2357,50.6920,54.6991,81.6817,97.7306,1000000.0000
40,201.2236,251.2764,301.3047,351.3201,401.3284,1.0000,1.0031,30.7794,58.2094,61.4278,83.9825,85.8874,97.8333,98.8437,1000000.0000
41,202.0125,252.0755,302.1146,352.1399,402.1568,1.0000,11.4100,20.5398,26.9189,38.1860,42.8634,60.3833,81.2127,92.4367,1000000.0000
42,201.5462,251.5786,301.6166,351.6279,401.6336,1.0000,21.7760,25.0448,37.7139,41.1696,47.5190,52.3379,72.4414,86.9372,1000000.0000
43,201.9912,252.0481,302.0868,352.1081,402.1181,1.0000,5.2045,8.7043,34.0525,48.9947,64.8469,75.2079,75.8821,77.6560,1000000.0000
44,201.7010,251.7490,301.7695,351.7792,401.7839,1.0000,17.1200,32.7939,34.0668,37.1805,45.5793,52.3744,63.8128,80.6343,1000000.0000
45,201.6952,251.7712,301.8188,351.8497,401.8274,1.0000,9.4929,39.9543,64.9561,66.4342,69.3564,69.9861,94.7749,95.6757,1000000.0000
46,201.6405,251.6596,301.6904,351.6971,401.6601,1.0000,18.4514,20.9959,27.7609,35.1468,50.3142,51.4849,71.6153,90.7872,1000000.0000
47,201.6444,251.6763,301.6925,351.7260,401.7314,1.0000,19.0606,19.5724,33.1406,51.1484,62.6719,63.0085,72.1856,98.0272,1000000.0000
48,201.9549,251.9926,302.0108,352.0195,402.0237,1.0000,6.0166,6.3573,17.2515,18.6021,40.0622,58.0187,80.4087,83.1670,1000000.0000
49,201.8332,251.8708,301.8898,351.8994,401.8645,1.0000,11.3295,17.0060,18.2001,26.2515,29.3839,53.9176,66.8113,86.6035,1000000.0000
50,201.6940,251.7490,301.7731,351.8132,401.8237,1.0000,17.3268,22.5110,36.9209,37.5495,43.5569,70.6293,89.5753,97.1485,1000000.0000
51,201.9316,251.9794,302.0057,352.0203,402.0285,1.0000,6.0488,18.4109,29.0469,29.1440,58.5203,71.5907,73.8754,77.9930,1000000.0000
52,201.4803,251.5139,301.5518,351.5647,401.5324,1.0000,16.7343,26.8273,27.1639,36.9641,80.3591,80.7344,88.3927,94.5339,1000000.0000
53,201.6182,251.6388,301.6471,351.6505,401.6518,1.0000,15.2257,21.7423,33.9604,34.2622,50.9865,61.1580,89.3994,90.2631,1000000.0000
54,201.8243,251.8725,301.8895,351.8978,401.9020,1.0000,1.9607,14.9098,19.0350,21.1193,24.2559,53.2633,73.6032,89.4733,1000000.0000
55,202.2569,252.3127,302.3436,352.3611,402.3714,1.0000,4.0899,5.0916,12.4236,24.9456,37.7744,54.6177,71.9542,95.4960,1000000.0000
56,201.8991,251.9778,302.0253,352.0546,402.0730,1.0000,3.6932,32.1032,43.1417,45.9288,46.9658,61.7727,78.3190,90.4108,1000000.0000
57,201.8476,251.9271,301.9830,352.0228,402.0510,1.0000,2.4785,3.1444,27.2621,29.7414,32.8632,71.3559,75.0074,98.6183,1000000.0000
58,201.0340,251.0927,301.0974,351.1043,401.1431,1.0000,39.5622,44.0678,47.6055,52.9826,65.0980,69.8727,80.1801,86.0326,1000000.0000
59,201.6559,251.7316,301.7713,351.7652,401.8099,1.0000,11.2234,47.0366,50.7096,55.2456,57.7204,62.7922,95.9724,98.4377,1000000.0000
60,202.0459,252.1294,302.1760,352.2019,402.2188,1.0000,10.8232,18.7049,28.3148,70.6650,71.2017,81.9197,90.3560,99.3223,1000000.0000
61,201.6759,251.6838,301.7033,351.7046,401.7051,1.0000,4.5073,22.6615,30.2633,30.7690,38.5720,73.9308,78.7893,83.3829,1000000.0000
62,201.8733,251.8793,301.8806,351.8814,401.8815,1.0000,5.5727,10.7579,13.9564,33.8324,40.5418,44.7293,45.9210,65.4877,1000000.0000
63,202.0806,252.1681,302.2177,352.2469,402.2623,1.0000,7.8958,21.2277,28.3373,50.4958,69.3127,73.3298,88.8175,89.7675,1000000.0000
64,201.6558,251.7003,301.7487,351.7366,401.7774,1.0000,20.6991,26.2499,36.3500,38.2146,52.9219,60.8871,78.2160,94.3127,1000000.0000
65,201.7429,251.7587,301.7655,351.7684,401.7696,1.0000,8.9439,16.4322,16.9252,24.7593,38.9088,50.5023,82.7764,84.3427,1000000.0000
66,201.9901,252.0417,302.0916,352.1099,402.1198,1.0000,2.4182,22.7064,31.8465,58.4667,61.3641,65.2176,86.8923,97.8826,1000000.0000
67,201.8468,251.9267,301.9833,352.0169,402.0369,1.0000,4.6785,25.7138,26.1847,27.9702,30.3488,76.5317,91.2102,99.5896,1000000.0000
68,201.5598,251.5818,301.5850,351.6114,401.5733,1.0000,19.4261,27.8543,33.3784,35.5928,46.6162,65.8190,68.4988,98.4373,1000000.0000
69,202.0089,252.0387,302.0707,352.0786,402.0824,1.0000,6.0250,6.6743,18.6224,34.3632,36.7777,49.5608,59.0619,98.9432,1000000.0000
70,201.8913,251.9246,301.9359,351.9380,401.9387,1.0000,1.2445,3.0263,22.7522,33.3695,38.9027,43.0856,44.6654,66.4205,1000000.0000
71,201.7310,251.7974,301.8112,351.8534,401.8244,1.0000,16.3278,37.3312,54.6687,61.2766,68.6147,79.7108,96.4951,98.3451,1000000.0000
72,201.6961,251.7338,301.7518,351.7606,401.7651,1.0000,2.4846,7.1762,54.1637,54.8003,65.0572,77.1712,79.2640,90.1484,1000000.0000
73,202.0325,252.1268,302.1774,352.2084,402.2278,1.0000,2.7398,26.1116,38.4443,63.0543,65.1674,74.5439,94.5014,96.6157,1000000.0000
74,201.6315,251.6767,301.6745,351.7069,401.6720,1.0000,7.6088,41.8140,49.3522,62.7604,72.0249,76.7757,80.8299,82.4552,1000000.0000
75,201.8436,251.8983,301.9264,351.9405,401.9485,1.0000,12.9736,30.6007,32.2383,45.6245,46.8653,58.7899,73.0233,87.3356,1000000.0000
76,201.9234,251.9769,302.0090,352.0409,402.0333,1.0000,9.2245,12.1632,37.0986,48.7560,57.2613,65.7615,70.3634,96.1176,1000000.0000
77,200.9513,251.0003,301.0284,351.0445,401.0538,1.0000,44.4230,52.2198,56.7784,63.1579,82.2809,83.3166,90.0098,90.6485,1000000.0000
78,201.1440,251.2056,301.2189,351.2316,401.2344,1.0000,37.5019,43.5615,48.8034,64.6461,67.3529,70.2431,72.3101,95.0517,1000000.0000
79,201.9112,251.9655,302.0112,352.0021,402.0460,1.0000,7.1367,11.0321,17.4663,61.7518,79.1451,87.9343,88.0723,91.5244,1000000.0000
80,201.8334,251.8831,301.8814,351.9152,401.9215,1.0000,8.2864,26.6802,39.9436,45.1825,72.6432,75.2895,79.2481,90.9935,1000000.0000
81,201.2175,251.2774,301.3107,351.3280,401.3371,1.0000,29.9794,62.9351,63.7893,65.9423,74.5796,92.7578,94.2692,94.3927,1000000.0000
82,202.1356,252.1861,302.2376,352.2525,402.2598,1.0000,6.5522,16.9723,30.3226,31.8215,51.9796,53.9337,70.8369,94.3521,1000000.0000
83,201.9823,252.0329,302.0888,352.1125,402.1253,1.0000,4.5867,22.2182,43.5603,44.2553,44.4600,51.5024,80.6914,94.1183,1000000.0000
84,202.0965,252.1172,302.1271,352.1322,402.1350,1.0000,3.9113,10.3882,22.1258,25.7790,31.8910,40.3494,59.2635,92.8008,1000000.0000
85,201.5609,251.5879,301.6009,351.6072,401.6102,1.0000,17.2856,20.2848,21.7285,27.3403,39.1352,40.9426,60.8504,84.2690,1000000.0000
86,201.4452,251.4882,301.5046,351.4825,401.5173,1.0000,6.9109,7.6734,50.8879,57.5717,65.7044,76.8090,84.8157,88.0472,1000000.0000
87,201.5784,251.6127,301.6268,351.6328,401.6353,1.0000,19.2041,28.1771,42.8031,43.5518,52.4257,71.8170,76.4208,80.6884,1000000.0000
88,201.9032,251.9836,302.0043,352.0536,402.0708,1.0000,2.6771,26.8708,29.4017,33.4076,50.2078,75.2276,83.6223,97.3259,1000000.0000
89,201.8755,251.9354,301.9394,351.9456,401.9839,1.0000,12.3080,27.1957,38.2593,52.6345,60.1401,61.0498,86.7478,97.6112,1000000.0000
90,202.4624,252.5395,302.5707,352.5856,402.5932,1.0000,1.9202,7.7926,18.8506,29.0171,54.3763,69.2142,80.2589,90.1524,1000000.0000
91,201.7794,251.8158,301.8327,351.8406,401.8442,1.0000,7.4189,20.9393,21.3275,47.0300,47.4708,51.7453,57.0814,83.4854,1000000.0000
92,200.8372,250.8805,300.9027,350.9119,400.9526,1.0000,51.2045,59.3737,66.1285,73.9598,76.0421,77.9558,78.7225,96.8175,1000000.0000
93,201.7874,251.8468,301.8791,351.8966,401.8670,1.0000,10.4996,12.1053,41.5869,47.5276,53.4240,62.6336,82.8285,92.8446,1000000.0000
94,201.2110,251.2641,301.2934,351.2787,401.3178,1.0000,31.7103,46.4361,58.0874,58.2695,73.2170,73.4540,81.3607,85.0274,1000000.0000
95,201.5097,251.5329,301.5482,351.5588,401.5663,1.0000,6.0656,25.2322,26.6412,35.8464,79.9447,81.1777,82.3284,92.3143,1000000.0000
96,201.0156,251.0599,301.0811,351.1192,401.1281,1.0000,40.6819,46.3208,53.3763,60.5848,75.7026,81.1177,82.5593,87.8390,1000000.0000
97,201.8509,251.8958,301.9098,351.9352,401.9433,1.0000,3.0888,15.6893,16.1702,27.2860,68.3068,85.4981,87.4699,88.4431,1000000.0000
98,202.1674,252.2556,302.3135,352.3117,402.3576,1.0000,4.2631,10.8106,43.6584,48.3130,70.2524,84.1056,92.5122,93.0791,1000000.0000
99,201.9104,251.9416,301.9610,351.9731,401.9791,1.0000,4.1103,10.1118,17.3574,19.4683,27.3917,52.1208,53.4005,67.7078,1000000.0000
100,201.8255,251.8790,301.9086,351.9232,401.9314,1.0000,8.2305,12.0598,14.9514,26.8468,30.1477,60.9447,88.3453,91.4138,1000000.0000
