trial,rev_50,rev_60,rev_70,rev_80,rev_90,rev_100,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
19,101.2034,121.2946,141.3603,161.4085,181.4354,201.4688,1.0000,20.7628,37.8615,44.9001,53.2897,63.5700,66.1414,70.9116,76.7631,1000000.0000
20,101.0982,121.1616,141.2042,161.2337,181.2540,201.2681,1.0000,20.7204,21.9617,24.4899,27.4052,29.6336,55.5113,69.5582,70.7806,1000000.0000
21,101.7193,121.7942,141.8420,161.8782,181.9009,201.9162,1.0000,1.7230,11.1107,29.7725,42.0558,44.6104,47.1780,52.9249,71.7318,1000000.0000
22,101.4479,121.5381,141.6049,161.6546,181.6877,201.7197,1.0000,13.8646,28.4272,28.9042,45.1911,48.5919,68.1150,70.6763,80.6554,1000000.0000
23,100.8912,120.9693,141.0252,161.0771,181.1057,201.1321,1.0000,34.3881,35.8927,39.6297,46.3747,49.8183,55.8449,63.1599,80.0344,1000000.0000
24,101.0781,121.1669,141.2356,161.2798,181.3139,201.3487,1.0000,26.9813,34.4026,40.0814,45.8477,46.9427,58.7703,61.6910,77.9518,1000000.0000
25,101.2963,121.3745,141.4301,161.4631,181.4962,201.5154,1.0000,12.5218,15.5427,47.8371,54.3371,56.3692,64.8421,71.1695,76.7691,1000000.0000
26,101.6906,121.7692,141.8224,161.8554,181.8833,201.9001,1.0000,9.2942,20.3544,31.7752,33.8106,41.8030,45.6889,61.0081,67.4603,1000000.0000
27,101.0128,121.0881,141.1442,161.1861,181.2174,201.2407,1.0000,26.4905,31.7318,32.0471,57.5345,66.2878,68.0163,72.5825,78.4821,1000000.0000
28,101.5794,121.6739,141.7479,161.7994,181.8371,201.8645,1.0000,11.5098,27.9083,29.1957,39.6968,47.6162,64.6378,74.0625,79.3419,1000000.0000
29,101.4035,121.4994,141.5652,161.6219,181.6608,201.6798,1.0000,15.9986,31.7863,37.5345,45.4012,66.8817,82.3259,83.3855,84.4807,1000000.0000
30,101.5410,121.6151,141.6632,161.6959,181.7181,201.7234,1.0000,12.2534,23.0435,23.8119,26.8266,33.8418,37.8073,47.6837,79.7742,1000000.0000
31,101.5434,121.6411,141.7096,161.7636,181.7933,201.8289,1.0000,12.9881,28.2162,33.4878,36.2573,44.1936,47.9295,61.9277,78.1540,1000000.0000
32,101.6866,121.7923,141.8671,161.9323,181.9782,202.0133,1.0000,3.4592,18.4467,44.4784,45.9722,53.6985,62.4302,64.8360,79.2063,1000000.0000
33,101.3642,121.3975,141.4169,161.4296,181.4384,201.4446,1.0000,1.4121,13.5355,13.7881,15.5059,19.9173,28.9298,63.7776,72.6766,1000000.0000
34,100.8824,120.9566,141.0134,161.0538,181.0903,201.1159,1.0000,33.2833,34.3706,39.3618,43.7280,63.0499,66.6822,73.2022,76.4587,1000000.0000
35,101.6011,121.6168,141.6263,161.6334,181.6385,201.6423,1.0000,1.7473,5.7697,6.6000,12.3745,13.4039,18.7625,42.6496,52.9046,1000000.0000
36,101.5478,121.5711,141.5865,161.5905,181.6032,201.6078,1.0000,4.6055,6.0675,14.1693,17.4720,20.3855,38.9892,40.8061,70.9167,1000000.0000
37,101.3764,121.4584,141.5151,161.5660,181.6005,201.6260,1.0000,9.7058,13.1488,48.3294,49.7321,51.0923,69.0680,71.8033,78.2627,1000000.0000
38,101.6672,121.7391,141.7895,161.8251,181.8505,201.8687,1.0000,9.8168,13.7952,16.9631,31.9908,40.9140,44.0564,56.6742,71.9675,1000000.0000
39,101.6595,121.7158,141.7538,161.7739,181.7957,201.7960,1.0000,5.8814,8.1327,21.4631,27.5360,37.6091,71.8241,74.3556,81.5587,1000000.0000
40,101.7683,121.8335,141.8811,161.9110,181.9229,201.9447,1.0000,5.9064,19.6633,20.6388,23.9389,29.2043,39.9535,51.1642,56.8859,1000000.0000
41,101.6979,121.7713,141.8191,161.8627,181.8916,201.9134,1.0000,7.5136,18.8963,21.8081,31.3678,50.0206,51.8279,74.0041,78.3640,1000000.0000
42,101.5799,121.6461,141.7002,161.7398,181.7716,201.7955,1.0000,7.0871,17.4611,21.3369,22.9995,24.5860,51.5432,55.0562,79.8551,1000000.0000
43,102.0464,122.1453,142.2209,162.2765,182.3191,202.3521,1.0000,4.1134,8.2994,14.5923,20.1488,45.3256,49.5787,58.0145,65.8017,1000000.0000
44,101.7025,121.7804,141.8365,161.8741,181.9071,201.9290,1.0000,8.3878,9.2898,19.1309,22.0796,39.4769,54.5667,56.4681,66.2349,1000000.0000
45,101.8920,121.9595,142.0073,162.0348,182.0645,202.0811,1.0000,3.0377,5.6342,7.9085,18.6680,32.2228,41.5620,72.4304,81.3542,1000000.0000
46,101.4040,121.4594,141.4919,161.5069,181.5194,201.5368,1.0000,7.7197,23.6101,43.4710,45.9380,46.1218,47.3490,80.2675,80.4785,1000000.0000
47,101.1908,121.2426,141.2796,161.3059,181.3247,201.3383,1.0000,4.0692,45.8834,50.2014,58.7974,60.2877,61.0286,69.5263,75.6074,1000000.0000
48,101.7216,121.7539,141.7790,161.7927,181.8019,201.8083,1.0000,2.0862,5.5697,5.8682,22.4120,27.4087,28.7790,40.0103,58.8900,1000000.0000
49,100.9219,121.0046,141.0618,161.1147,181.1438,201.1806,1.0000,32.1658,38.1912,38.7209,50.8546,57.3730,73.7290,77.7720,79.0246,1000000.0000
50,101.1839,121.2803,141.3532,161.4144,181.4575,201.4904,1.0000,24.0612,32.4102,40.6606,47.9359,57.9453,75.8759,78.9382,80.0622,1000000.0000
51,101.6494,121.7365,141.8008,161.8425,181.8847,201.9017,1.0000,10.7764,13.1641,20.6856,40.4920,45.0771,57.7813,64.2583,76.8664,1000000.0000
52,100.7009,120.7636,140.8170,160.8562,180.8868,200.9108,1.0000,42.7967,43.9050,44.4459,53.0641,53.7195,57.1474,80.0681,82.7878,1000000.0000
53,101.6927,121.7746,141.8314,161.8708,181.8983,201.9176,1.0000,1.9073,10.7170,36.1572,45.9316,52.5422,56.5109,66.5625,71.6265,1000000.0000
54,101.7222,121.8003,141.8560,161.9006,181.9288,201.9489,1.0000,1.5028,14.6183,23.1321,30.8771,34.4359,39.5459,58.5080,71.2594,1000000.0000
55,101.2572,121.3502,141.4148,161.4692,181.4960,201.5202,1.0000,20.8951,23.3494,30.7999,42.0201,62.4606,64.6906,68.3630,83.1747,1000000.0000
56,101.6179,121.6976,141.7557,161.7917,181.8288,201.8462,1.0000,6.1279,13.1279,46.5219,53.8124,66.6011,69.1813,70.4597,75.7009,1000000.0000
57,100.9231,121.0073,141.0780,161.1245,181.1724,201.2051,1.0000,33.8597,37.1710,42.5695,48.2486,49.6100,50.4344,73.8234,84.8923,1000000.0000
58,101.3328,121.3661,141.3827,161.3915,181.3962,201.3990,1.0000,1.1765,15.5893,16.5106,20.4785,24.2155,32.0167,41.2192,42.9221,1000000.0000
59,101.6558,121.7313,141.7860,161.8235,181.8500,201.8685,1.0000,5.5201,25.2692,31.8910,38.1022,50.3793,52.9015,53.9343,65.4262,1000000.0000
60,101.1569,121.2206,141.2641,161.2938,181.3141,201.3279,1.0000,20.2635,21.7900,34.8736,38.7524,46.9350,53.8390,56.4283,60.2652,1000000.0000
61,101.7578,121.8595,141.9390,162.0038,182.0575,202.1028,1.0000,5.4487,19.7726,31.5839,32.8941,57.8472,69.4119,69.6991,82.1634,1000000.0000
62,101.9414,122.0436,142.1191,162.1754,182.2168,202.2478,1.0000,3.3071,17.1972,23.8879,30.9670,40.8361,54.1903,58.2788,72.8534,1000000.0000
63,101.7868,121.9187,142.0264,162.1136,182.1851,202.2438,1.0000,2.1243,8.4477,25.4676,57.1640,61.6640,72.8914,74.5064,83.8685,1000000.0000
64,101.6592,121.7631,141.8416,161.9008,181.9452,201.9796,1.0000,9.2970,26.7249,37.8499,49.4126,49.7256,53.5940,60.3102,81.1036,1000000.0000
65,101.8576,121.9399,141.9926,162.0282,182.0399,202.0470,1.0000,5.1800,11.5794,12.5457,28.3660,45.1414,47.8440,49.4823,54.9090,1000000.0000
66,101.5594,121.5833,141.5981,161.6007,181.6130,201.6176,1.0000,4.4864,13.2682,17.1959,26.5899,54.6990,55.0177,59.6947,62.0072,1000000.0000
67,101.4122,121.5001,141.5670,161.6187,181.6509,201.6906,1.0000,13.8500,22.4740,48.5978,52.5430,55.0784,74.0020,80.6874,83.1324,1000000.0000
68,101.7096,121.7732,141.8147,161.8420,181.8512,201.8603,1.0000,9.7744,14.6630,24.4892,25.4815,31.7821,40.3750,49.3621,58.0154,1000000.0000
69,101.8267,121.9178,141.9882,162.0303,182.0648,202.0746,1.0000,1.6420,6.9146,15.1739,46.7867,56.4167,56.7012,59.8181,75.8987,1000000.0000
70,101.4316,121.5169,141.5739,161.6249,181.6594,201.6855,1.0000,14.4450,22.2739,24.6974,43.9002,45.3269,67.9618,69.1241,82.4472,1000000.0000
71,101.6750,121.7238,141.7542,161.7732,181.7766,201.7822,1.0000,5.9090,11.9861,23.9047,39.5752,44.5247,45.8551,75.1289,77.0110,1000000.0000
72,101.8515,121.9563,142.0333,162.0903,182.1322,202.1636,1.0000,4.2071,12.2090,31.9650,52.0834,54.8048,64.6357,67.1186,83.6683,1000000.0000
73,101.4712,121.5206,141.5522,161.5685,181.5781,201.5837,1.0000,8.8077,24.9016,26.3800,29.6029,52.8468,55.9408,59.5060,64.4670,1000000.0000
74,101.5544,121.6466,141.7135,161.7686,181.8056,201.8307,1.0000,11.5356,28.4609,37.6262,48.3912,65.2019,72.7273,72.9423,73.7724,1000000.0000
75,101.1704,121.2462,141.2973,161.3376,181.3754,201.3993,1.0000,20.6181,22.0443,38.5532,63.2694,67.3340,68.4278,73.9698,84.1353,1000000.0000
76,100.9572,121.0372,141.1054,161.1556,181.1945,201.2247,1.0000,30.7645,35.4959,35.6234,36.7145,47.8227,60.9200,78.0802,83.2126,1000000.0000
77,101.4245,121.4983,141.5432,161.5814,181.6040,201.6093,1.0000,15.9202,21.1778,29.5968,38.4888,41.6402,52.2653,80.6234,84.2181,1000000.0000
78,101.6339,121.7338,141.8141,161.8749,181.9214,201.9574,1.0000,10.9132,18.5120,40.6646,41.4130,50.0606,59.6683,74.4072,84.1544,1000000.0000
79,101.7221,121.8213,141.8966,161.9604,182.0063,202.0419,1.0000,9.2086,18.4676,19.7558,35.1378,48.4317,56.3630,77.6984,84.3002,1000000.0000
80,101.6342,121.7305,141.8016,161.8547,181.8945,201.9150,1.0000,8.4927,26.7956,28.7956,41.7213,53.3546,58.1096,66.7805,73.1726,1000000.0000
81,102.0662,122.1689,142.2335,162.2858,182.3192,202.3433,1.0000,4.7963,10.6086,17.9753,31.3689,41.7939,50.9398,56.7704,66.6668,1000000.0000
82,101.7192,121.7807,141.8276,161.8581,181.8799,201.8957,1.0000,1.8535,12.0946,20.6273,35.9461,39.7120,44.5069,44.9591,79.6447,1000000.0000
83,101.5653,121.6251,141.6588,161.6799,181.6934,201.7019,1.0000,7.6927,10.7114,12.1248,40.9058,42.9998,47.3950,60.5159,71.2471,1000000.0000
84,101.4832,121.5758,141.6452,161.6972,181.7282,201.7555,1.0000,2.1781,16.7386,56.1754,69.4822,69.8544,73.1604,74.3533,78.6873,1000000.0000
85,101.7168,121.7485,141.7654,161.7744,181.7713,201.7819,1.0000,4.4623,12.0520,22.8069,27.3376,28.3170,29.9396,34.8252,70.8034,1000000.0000
86,101.8234,121.9093,141.9693,162.0114,182.0411,202.0622,1.0000,1.1140,3.3237,9.7118,33.0757,45.2967,50.9822,56.9829,71.3508,1000000.0000
87,101.6172,121.7159,141.7910,161.8481,181.8837,201.9251,1.0000,1.7446,3.0759,27.4410,27.5374,42.9886,55.4555,68.0482,73.5674,1000000.0000
88,101.2552,121.3374,141.3990,161.4389,181.4800,201.5062,1.0000,14.3692,42.6893,43.4289,43.5513,59.3859,70.9904,71.8466,79.0922,1000000.0000
89,101.6675,121.7557,141.8213,161.8708,181.8999,201.9361,1.0000,9.5833,16.7884,22.0629,52.1289,56.7951,69.6623,79.3528,84.2352,1000000.0000
90,101.4555,121.5346,141.5918,161.6339,181.6653,201.6891,1.0000,13.3618,26.1552,34.9746,55.1348,61.1532,64.9229,73.5136,73.6890,1000000.0000
91,101.9767,122.0871,142.1679,162.2294,182.2741,202.2972,1.0000,4.5140,8.1371,15.9178,36.5804,54.4669,66.6293,69.3036,81.2830,1000000.0000
92,101.7920,121.8828,141.9439,161.9908,182.0222,202.0443,1.0000,2.2657,12.3576,30.2394,47.3894,47.5956,56.1190,62.0967,68.6191,1000000.0000
93,101.6663,121.7666,141.8468,161.8979,181.9478,201.9813,1.0000,11.5180,23.1700,27.0226,40.7285,48.0586,60.4336,68.9949,76.7779,1000000.0000
94,101.1469,121.2333,141.2988,161.3500,181.3874,201.4142,1.0000,1.2260,20.9915,52.4479,54.2406,58.9244,59.2026,59.6010,76.2537,1000000.0000
95,101.4067,121.4989,141.5679,161.6201,181.6500,201.6863,1.0000,15.3248,27.7241,53.1023,63.8388,73.7960,75.2072,77.2414,82.9406,1000000.0000
96,101.6636,121.7243,141.7604,161.7868,181.8112,201.8221,1.0000,1.3065,11.0629,18.0814,22.2149,39.2440,46.8925,69.7018,70.1827,1000000.0000
97,101.4644,121.5511,141.6064,161.6544,181.6817,201.7086,1.0000,15.0206,20.8101,34.8923,37.1149,40.4457,57.7019,70.4665,76.9211,1000000.0000
98,101.5795,121.6681,141.7305,161.7747,181.8059,201.8276,1.0000,13.3990,13.9029,21.1144,32.6035,36.0375,46.9472,54.1287,66.0253,1000000.0000
99,101.8999,121.9641,142.0124,162.0425,182.0631,202.0775,1.0000,2.1959,3.1407,14.6045,23.7418,29.4262,44.7356,51.6982,78.7352,1000000.0000
100,101.4719,121.5739,141.6504,161.7080,181.7477,201.7751,1.0000,15.4381,29.8215,35.4943,48.1551,62.5937,70.1990,76.2639,83.1534,1000000.0000
