trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11,sup_12,sup_13,sup_14
18,0.5191,0.0000,0.0535,0.2321,0.3144,0.3648,0.3854,0.5443,0.7118,0.7276,0.7630,0.8004,0.8705,0.8858,0.9651
19,0.4622,0.0000,0.0400,0.0989,0.1309,0.1574,0.2102,0.3254,0.3418,0.7037,0.7200,0.8391,0.8466,0.8489,0.8567
20,0.5204,0.0000,0.1761,0.2667,0.3265,0.3420,0.3550,0.4478,0.4772,0.6472,0.7002,0.7162,0.8085,0.8141,0.8966
21,0.5363,0.0000,0.0910,0.2189,0.3054,0.3506,0.3957,0.4586,0.4762,0.4999,0.5346,0.6128,0.7553,0.7808,0.9427
22,0.5269,0.0000,0.0824,0.1229,0.2006,0.2548,0.3156,0.3765,0.3957,0.5022,0.6303,0.7549,0.8544,0.8972,0.9074
23,0.4651,0.0000,0.0147,0.0674,0.2428,0.2625,0.2810,0.3502,0.3615,0.7650,0.7744,0.8500,0.8839,0.9739,0.9812
24,0.5210,0.0000,0.1495,0.2556,0.3319,0.4045,0.5550,0.5616,0.6895,0.6956,0.7050,0.7502,0.8643,0.9441,0.9626
25,0.5243,0.0000,0.0366,0.1228,0.1497,0.2378,0.2468,0.3799,0.5287,0.5596,0.6376,0.7438,0.7448,0.8717,0.9268
26,0.5354,0.0000,0.0219,0.1557,0.3026,0.3752,0.3895,0.4025,0.4349,0.4694,0.5020,0.5647,0.5980,0.9001,0.9260
27,0.5042,0.0000,0.1555,0.5162,0.5212,0.5661,0.6215,0.6294,0.6327,0.7255,0.8186,0.8448,0.9038,0.9247,0.9617
28,0.5110,0.0000,0.1029,0.2882,0.5384,0.5798,0.6373,0.6620,0.6895,0.7219,0.7467,0.8262,0.8412,0.8764,0.9688
29,0.5236,0.0000,0.0465,0.3042,0.3795,0.4904,0.5137,0.5205,0.6797,0.7859,0.8169,0.8480,0.9208,0.9492,0.9869
30,0.5279,0.0000,0.0264,0.0394,0.2420,0.2845,0.3615,0.3869,0.4409,0.4707,0.6107,0.6569,0.6610,0.7201,0.7451
31,0.5325,0.0000,0.1543,0.2718,0.2916,0.2982,0.3859,0.4349,0.5157,0.5805,0.5991,0.7104,0.7115,0.7589,0.9703
32,0.5103,0.0000,0.0373,0.0818,0.0828,0.1035,0.4844,0.5640,0.6138,0.6267,0.7601,0.7963,0.8498,0.9678,0.9709
33,0.5161,0.0000,0.2032,0.2321,0.2366,0.2721,0.4746,0.5191,0.6283,0.6800,0.7756,0.8054,0.8241,0.9405,0.9857
34,0.5301,0.0000,0.2135,0.3526,0.4397,0.4745,0.4984,0.5317,0.5501,0.5716,0.6529,0.6974,0.7237,0.9063,0.9909
35,0.5229,0.0000,0.0395,0.0647,0.1578,0.2506,0.3329,0.4490,0.5971,0.7349,0.7566,0.8687,0.9007,0.9143,0.9515
36,0.5244,0.0000,0.0431,0.0460,0.1399,0.1646,0.2281,0.2590,0.3119,0.3637,0.3924,0.5148,0.6507,0.6950,0.8882
37,0.5223,0.0000,0.0890,0.1992,0.2362,0.2453,0.3670,0.4527,0.4626,0.4949,0.6601,0.7083,0.8670,0.9423,0.9858
38,0.5346,0.0000,0.0491,0.3168,0.3840,0.4152,0.4850,0.4940,0.5325,0.5598,0.5892,0.6126,0.7211,0.7973,0.9768
39,0.5290,0.0000,0.1195,0.1796,0.2509,0.3432,0.3571,0.3577,0.3811,0.4780,0.4813,0.4892,0.6081,0.7719,0.8724
40,0.5188,0.0000,0.0043,0.0513,0.0764,0.0915,0.1921,0.1923,0.2007,0.3395,0.4807,0.5019,0.6585,0.7700,0.9340
41,0.5188,0.0000,0.0460,0.0487,0.1878,0.2992,0.3322,0.4393,0.6122,0.7807,0.8093,0.8170,0.8902,0.9356,0.9660
42,0.5217,0.0000,0.1235,0.1895,0.4372,0.4764,0.5277,0.5732,0.5924,0.6067,0.6774,0.7612,0.9178,0.9353,0.9852
43,0.5156,0.0000,0.0456,0.0477,0.0895,0.1421,0.1910,0.2200,0.4173,0.4328,0.6037,0.7059,0.7311,0.7948,0.9314
44,0.4857,0.0000,0.0807,0.1308,0.1768,0.2168,0.2177,0.6017,0.6160,0.6221,0.6649,0.6920,0.9124,0.9773,0.9856
45,0.5117,0.0000,0.0323,0.1183,0.3126,0.5707,0.5753,0.6478,0.6626,0.6757,0.7248,0.7285,0.8453,0.9141,0.9674
46,0.5331,0.0000,0.0641,0.1670,0.3045,0.3916,0.4561,0.4999,0.5034,0.5903,0.6686,0.7171,0.7760,0.7854,0.9117
47,0.4866,0.0000,0.0133,0.0595,0.1193,0.1324,0.1525,0.2665,0.2746,0.3028,0.3094,0.4127,0.8398,0.9828,0.9886
48,0.5231,0.0000,0.0238,0.0304,0.1702,0.2312,0.2982,0.3351,0.4983,0.5351,0.7542,0.7718,0.7728,0.9668,0.9950
49,0.5162,0.0000,0.0062,0.0395,0.1451,0.2481,0.2612,0.3168,0.3373,0.4515,0.6372,0.6694,0.7405,0.9441,0.9773
50,0.5224,0.0000,0.0591,0.1131,0.1789,0.3024,0.3389,0.3928,0.4640,0.6169,0.6995,0.7138,0.7370,0.8330,0.8618
51,0.5262,0.0000,0.1021,0.1166,0.1521,0.2406,0.3162,0.4129,0.4551,0.5126,0.5153,0.6638,0.6768,0.7155,0.9741
52,0.5257,0.0000,0.0026,0.1832,0.2084,0.2219,0.3320,0.4716,0.4862,0.5126,0.5361,0.5594,0.5844,0.7817,0.9091
53,0.4902,0.0000,0.0188,0.0946,0.0983,0.1398,0.1761,0.2706,0.3189,0.3948,0.6913,0.6924,0.7282,0.8958,0.9113
54,0.5231,0.0000,0.0117,0.0189,0.1146,0.2355,0.2966,0.3062,0.3625,0.3887,0.4533,0.6165,0.7776,0.9016,0.9755
55,0.5105,0.0000,0.0087,0.0392,0.0781,0.1368,0.4561,0.4812,0.6051,0.6369,0.7474,0.7962,0.9044,0.9055,0.9570
56,0.5325,0.0000,0.0277,0.0458,0.1768,0.2883,0.3673,0.3965,0.5089,0.5249,0.5538,0.6262,0.6611,0.7565,0.8091
57,0.5229,0.0000,0.0824,0.0893,0.3646,0.3826,0.5262,0.5279,0.5352,0.5803,0.6173,0.7099,0.7724,0.7759,0.9097
58,0.5214,0.0000,0.0159,0.0596,0.1339,0.1360,0.1708,0.1863,0.1957,0.2205,0.4132,0.4457,0.4568,0.6041,0.8676
59,0.5279,0.0000,0.1620,0.2401,0.3297,0.3665,0.3870,0.5393,0.5548,0.6203,0.7878,0.7912,0.8013,0.9772,0.9777
60,0.5259,0.0000,0.1009,0.1164,0.1547,0.2928,0.2997,0.3574,0.4530,0.5926,0.6218,0.6294,0.7623,0.8196,0.9542
61,0.5209,0.0000,0.1314,0.1486,0.2150,0.2659,0.3506,0.4400,0.5906,0.6503,0.6570,0.7911,0.8272,0.8294,0.8638
62,0.5191,0.0000,0.0141,0.0416,0.1448,0.3490,0.5398,0.5501,0.5707,0.6591,0.7835,0.9060,0.9277,0.9430,0.9623
63,0.5225,0.0000,0.1531,0.1878,0.1991,0.2582,0.4377,0.4483,0.4582,0.4794,0.6170,0.6536,0.7591,0.8164,0.9862
64,0.5294,0.0000,0.0077,0.0805,0.1527,0.3095,0.4195,0.4693,0.5462,0.5665,0.6563,0.7560,0.7827,0.8403,0.8489
65,0.5112,0.0000,0.1475,0.1594,0.1866,0.2759,0.3094,0.3461,0.5971,0.6667,0.7001,0.7294,0.7915,0.8224,0.9220
66,0.5270,0.0000,0.0661,0.2097,0.3532,0.4436,0.5202,0.6389,0.6972,0.7409,0.7840,0.7965,0.8587,0.8910,0.9923
67,0.5186,0.0000,0.0187,0.1431,0.3213,0.4899,0.5743,0.6561,0.6701,0.8420,0.8712,0.8797,0.8912,0.9162,0.9682
68,0.5290,0.0000,0.1781,0.1864,0.2999,0.4106,0.5150,0.5183,0.5217,0.6032,0.6112,0.7184,0.8195,0.8933,0.8964
69,0.5056,0.0000,0.1208,0.1865,0.1876,0.2022,0.2119,0.2434,0.5311,0.5929,0.6745,0.7933,0.7954,0.8424,0.8994
70,0.5226,0.0000,0.0027,0.0961,0.1909,0.3975,0.4860,0.5275,0.6188,0.6712,0.7156,0.7300,0.7369,0.8561,0.9544
71,0.5202,0.0000,0.0680,0.0819,0.0828,0.1032,0.1128,0.2943,0.3744,0.4997,0.6767,0.9407,0.9540,0.9631,0.9991
72,0.5196,0.0000,0.0404,0.1431,0.1619,0.1660,0.1996,0.3172,0.3237,0.3442,0.3789,0.5353,0.7017,0.7629,0.9398
73,0.5079,0.0000,0.1121,0.1578,0.4977,0.5520,0.5856,0.6146,0.6766,0.7820,0.8600,0.8611,0.9182,0.9283,0.9757
74,0.5091,0.0000,0.0097,0.1769,0.3060,0.3073,0.3091,0.3914,0.4315,0.6471,0.8257,0.8836,0.8900,0.8903,0.9697
75,0.5276,0.0000,0.0450,0.0771,0.3116,0.3614,0.5201,0.5600,0.5688,0.6879,0.7614,0.8141,0.8277,0.8840,0.9983
76,0.5067,0.0000,0.0304,0.0630,0.1433,0.1944,0.2330,0.2556,0.3486,0.3873,0.6179,0.6182,0.8115,0.8212,0.8376
77,0.5208,0.0000,0.1287,0.1822,0.2114,0.2198,0.2846,0.4662,0.4775,0.5669,0.6460,0.6713,0.6749,0.8593,0.8638
78,0.5228,0.0000,0.0550,0.0795,0.0992,0.4217,0.4672,0.5006,0.5217,0.5527,0.6596,0.7030,0.7045,0.7230,0.8210
79,0.5223,0.0000,0.1049,0.1645,0.1834,0.2122,0.3017,0.4708,0.5672,0.6245,0.6922,0.6956,0.8658,0.8981,0.9423
80,0.5079,0.0000,0.0960,0.1812,0.1857,0.2160,0.2913,0.4620,0.4870,0.7085,0.7101,0.7802,0.7895,0.9736,0.9940
81,0.5251,0.0000,0.0930,0.2317,0.2460,0.3466,0.3954,0.4439,0.4770,0.4849,0.6476,0.6510,0.8107,0.8441,0.9074
82,0.5230,0.0000,0.0221,0.0274,0.0421,0.2169,0.3390,0.3663,0.4044,0.4084,0.4988,0.5217,0.5243,0.8658,0.9443
83,0.4966,0.0000,0.0212,0.2354,0.5652,0.6102,0.6822,0.6837,0.7224,0.8224,0.8492,0.9491,0.9561,0.9714,0.9997
84,0.5273,0.0000,0.0194,0.0646,0.1053,0.2299,0.2717,0.4250,0.4639,0.4824,0.4850,0.5020,0.5821,0.8405,0.8543
85,0.5210,0.0000,0.0713,0.1066,0.3857,0.3997,0.4199,0.4250,0.4830,0.5043,0.5105,0.7492,0.8031,0.8719,0.8858
86,0.5291,0.0000,0.1180,0.1461,0.2633,0.3768,0.4476,0.5581,0.5660,0.5884,0.6086,0.6577,0.7192,0.8111,0.9668
87,0.5252,0.0000,0.0708,0.1981,0.3391,0.3643,0.4938,0.6017,0.6506,0.7129,0.7593,0.7713,0.8723,0.9073,0.9715
88,0.5283,0.0000,0.0497,0.2039,0.2111,0.3005,0.3435,0.3513,0.4988,0.5783,0.6349,0.6767,0.7282,0.7525,0.7740
89,0.4966,0.0000,0.1863,0.2575,0.3133,0.3141,0.3660,0.4162,0.4240,0.7338,0.7854,0.8029,0.8139,0.8493,0.9597
90,0.5271,0.0000,0.0574,0.1933,0.1970,0.2798,0.4004,0.5283,0.5636,0.6097,0.6128,0.7264,0.8779,0.9603,0.9679
91,0.5147,0.0000,0.0034,0.0837,0.1478,0.2562,0.3106,0.3703,0.3705,0.5837,0.7119,0.7513,0.7912,0.8441,0.9187
92,0.5260,0.0000,0.0260,0.0402,0.0806,0.0833,0.1029,0.1450,0.1610,0.3056,0.3297,0.3622,0.5051,0.5437,0.9931
93,0.5185,0.0000,0.1364,0.1757,0.1959,0.3291,0.3344,0.4244,0.4644,0.6406,0.6625,0.7506,0.7980,0.8138,0.9867
94,0.5036,0.0000,0.0985,0.1211,0.1710,0.1965,0.2436,0.2947,0.3978,0.6308,0.6570,0.8476,0.8805,0.9161,0.9733
95,0.5160,0.0000,0.0247,0.0570,0.1188,0.2081,0.2559,0.2644,0.3345,0.3532,0.3828,0.4549,0.6567,0.8044,0.9449
96,0.5174,0.0000,0.0548,0.2288,0.2488,0.2524,0.3004,0.3607,0.5824,0.6461,0.6540,0.7452,0.8171,0.8368,0.9698
97,0.5279,0.0000,0.0002,0.1669,0.1897,0.3884,0.4411,0.4660,0.4966,0.5780,0.6304,0.6393,0.7258,0.8087,0.9429
98,0.5287,0.0000,0.0405,0.1516,0.2362,0.3518,0.3982,0.4084,0.5410,0.5760,0.6089,0.7587,0.8290,0.8690,0.9731
99,0.5210,0.0000,0.0234,0.0490,0.0879,0.0956,0.1476,0.3620,0.5049,0.5169,0.5721,0.7823,0.8555,0.8702,0.9853
100,0.5156,0.0000,0.0581,0.1359,0.2346,0.2411,0.3055,0.5627,0.6135,0.6882,0.7161,0.7626,0.8304,0.8763,0.9308
