trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11,sup_12,sup_13
34,0.5298,0.0000,0.0030,0.0230,0.0788,0.1222,0.2684,0.2947,0.3250,0.3333,0.4205,0.4836,0.6015,0.8412
35,0.5053,0.0000,0.0470,0.0933,0.1428,0.2282,0.2553,0.4173,0.4303,0.4638,0.4652,0.8557,0.8582,0.9953
36,0.5180,0.0000,0.1347,0.1707,0.1712,0.1733,0.3008,0.5151,0.5875,0.5988,0.8227,0.8719,0.9150,0.9373
37,0.5194,0.0000,0.0494,0.2033,0.2984,0.4420,0.6108,0.6823,0.7005,0.7447,0.7541,0.7658,0.9480,0.9941
38,0.5188,0.0000,0.0577,0.1562,0.1822,0.2630,0.4636,0.5392,0.5502,0.6036,0.7383,0.7857,0.7989,0.9037
39,0.5173,0.0000,0.0140,0.1330,0.2127,0.3595,0.3624,0.3757,0.4798,0.6643,0.7202,0.7486,0.8279,0.9811
40,0.5278,0.0000,0.0391,0.1406,0.3525,0.4153,0.4833,0.5673,0.5804,0.8625,0.8923,0.9448,0.9730,0.9737
41,0.5015,0.0000,0.0150,0.0386,0.1686,0.1881,0.2260,0.2662,0.4215,0.6763,0.7177,0.7562,0.8916,0.9224
42,0.5343,0.0000,0.0205,0.1443,0.1841,0.2919,0.3461,0.3745,0.4253,0.4960,0.5657,0.6272,0.7016,0.9748
43,0.5257,0.0000,0.0726,0.1702,0.2789,0.2816,0.4235,0.4502,0.5306,0.5468,0.5601,0.7014,0.7943,0.9077
44,0.5211,0.0000,0.1228,0.1863,0.3278,0.3396,0.4899,0.5226,0.5349,0.7046,0.7320,0.7647,0.7750,0.9120
45,0.5137,0.0000,0.0999,0.2254,0.2331,0.4782,0.4941,0.6041,0.6088,0.6916,0.7848,0.9553,0.9759,0.9825
46,0.5263,0.0000,0.2099,0.2153,0.2441,0.2499,0.2761,0.2806,0.3494,0.4792,0.5416,0.7473,0.7484,0.8943
47,0.5294,0.0000,0.0710,0.1692,0.1941,0.3221,0.3418,0.4504,0.4675,0.4908,0.5355,0.5974,0.6948,0.9658
48,0.5209,0.0000,0.0028,0.0407,0.1510,0.1616,0.3369,0.3521,0.5058,0.6196,0.6306,0.6738,0.8597,0.8848
49,0.5276,0.0000,0.0524,0.1564,0.1778,0.3084,0.3961,0.4402,0.4463,0.5775,0.6091,0.6442,0.6632,0.8700
50,0.5268,0.0000,0.1902,0.2129,0.2226,0.3048,0.4478,0.5006,0.5127,0.5942,0.6292,0.6418,0.8867,0.9675
51,0.5268,0.0000,0.0980,0.1009,0.2039,0.2226,0.3064,0.3508,0.3764,0.4225,0.5258,0.6564,0.7721,0.8140
52,0.5280,0.0000,0.1564,0.2044,0.3249,0.4050,0.4466,0.5542,0.5583,0.5708,0.6645,0.7695,0.9205,0.9905
53,0.4997,0.0000,0.0291,0.1496,0.1720,0.5266,0.5961,0.5967,0.6371,0.6950,0.7867,0.8504,0.8911,0.9154
54,0.5202,0.0000,0.0897,0.1016,0.1060,0.2277,0.4436,0.4911,0.5382,0.5589,0.7158,0.8151,0.8165,0.9288
55,0.5230,0.0000,0.0425,0.0862,0.1469,0.2234,0.3208,0.3610,0.4157,0.5406,0.6660,0.7073,0.8917,0.9360
56,0.5161,0.0000,0.0682,0.2014,0.3889,0.4242,0.4412,0.4554,0.4621,0.4720,0.6640,0.7362,0.7970,0.8876
57,0.5271,0.0000,0.1822,0.2754,0.2936,0.4331,0.5637,0.6239,0.6340,0.6641,0.7049,0.9211,0.9412,0.9651
58,0.5301,0.0000,0.0380,0.0610,0.1649,0.1683,0.2512,0.2973,0.3875,0.4823,0.5354,0.6296,0.6496,0.7508
59,0.5089,0.0000,0.0677,0.1959,0.2422,0.2822,0.2976,0.3198,0.3260,0.5931,0.8029,0.8401,0.9266,0.9309
60,0.5143,0.0000,0.0349,0.2971,0.4980,0.5022,0.5401,0.5808,0.6057,0.6533,0.7594,0.7691,0.8006,0.8255
61,0.5228,0.0000,0.0845,0.2837,0.2924,0.3129,0.4705,0.5748,0.6405,0.7864,0.7889,0.9387,0.9554,0.9842
62,0.5027,0.0000,0.0232,0.0392,0.0662,0.1107,0.1518,0.2255,0.3639,0.6267,0.6596,0.6598,0.8119,0.8658
63,0.5203,0.0000,0.0213,0.4283,0.4373,0.5173,0.5718,0.5865,0.5878,0.6038,0.6414,0.7056,0.8020,0.8763
64,0.5149,0.0000,0.0313,0.0444,0.0632,0.0811,0.2484,0.4029,0.4681,0.4950,0.7392,0.8750,0.8880,0.9770
65,0.5302,0.0000,0.0086,0.1409,0.2510,0.3384,0.3904,0.4728,0.5246,0.6582,0.7390,0.7922,0.9555,0.9853
66,0.5344,0.0000,0.2301,0.2578,0.3050,0.3694,0.3762,0.4929,0.5437,0.5662,0.6275,0.7172,0.8852,0.8906
67,0.5316,0.0000,0.0619,0.2169,0.2429,0.2458,0.3176,0.4203,0.4981,0.5958,0.6063,0.6118,0.6626,0.7276
68,0.4990,0.0000,0.0142,0.0347,0.1157,0.1283,0.1383,0.1877,0.4980,0.6728,0.7033,0.8408,0.8857,0.9565
69,0.5096,0.0000,0.1151,0.1671,0.1801,0.1915,0.4564,0.5031,0.7231,0.7286,0.7961,0.8086,0.8384,0.8869
70,0.5165,0.0000,0.0057,0.1410,0.1973,0.2374,0.3606,0.5790,0.6053,0.6467,0.6702,0.7903,0.9014,0.9733
71,0.5284,0.0000,0.1596,0.2185,0.2861,0.3562,0.3632,0.4734,0.5872,0.5914,0.6032,0.6879,0.6999,0.7865
72,0.5265,0.0000,0.0643,0.0835,0.1033,0.2791,0.2871,0.3277,0.3745,0.5277,0.6325,0.6634,0.7058,0.9786
73,0.5113,0.0000,0.0692,0.0968,0.1147,0.2443,0.4893,0.5568,0.7203,0.7834,0.9246,0.9618,0.9835,0.9836
74,0.5223,0.0000,0.0074,0.0791,0.1064,0.2968,0.3328,0.4962,0.5667,0.6387,0.6796,0.7566,0.7860,0.8559
75,0.5262,0.0000,0.0150,0.2396,0.2981,0.3487,0.4158,0.4549,0.5081,0.6654,0.7845,0.7963,0.7976,0.8109
76,0.5226,0.0000,0.0031,0.1606,0.3126,0.3168,0.3243,0.4292,0.4294,0.4860,0.6448,0.7064,0.8793,0.8861
77,0.5300,0.0000,0.0056,0.1377,0.2623,0.3017,0.3257,0.4399,0.5315,0.6084,0.6669,0.7289,0.7297,0.8124
78,0.5052,0.0000,0.0510,0.1006,0.1122,0.1312,0.2526,0.2679,0.3123,0.6021,0.7096,0.7440,0.8036,0.9555
79,0.5201,0.0000,0.3806,0.3853,0.5126,0.5450,0.6123,0.6479,0.6689,0.6983,0.8015,0.8129,0.8567,0.9979
80,0.5186,0.0000,0.0178,0.1255,0.1341,0.2037,0.2776,0.2986,0.3863,0.5534,0.7096,0.9158,0.9459,0.9849
81,0.5147,0.0000,0.0022,0.0268,0.0839,0.1069,0.2051,0.3038,0.3525,0.4570,0.6549,0.7659,0.8338,0.9093
82,0.5264,0.0000,0.0738,0.1664,0.3572,0.3656,0.4682,0.5791,0.6534,0.7025,0.9088,0.9417,0.9682,0.9870
83,0.5294,0.0000,0.0019,0.0567,0.2361,0.2440,0.3409,0.4227,0.5305,0.6045,0.6238,0.6282,0.8466,0.9573
84,0.5221,0.0000,0.0091,0.0580,0.1619,0.4230,0.4599,0.5043,0.5653,0.7260,0.7355,0.7560,0.8297,0.8946
85,0.5334,0.0000,0.0463,0.1607,0.2101,0.2806,0.3338,0.3733,0.3865,0.4492,0.4702,0.5686,0.5883,0.6436
86,0.5166,0.0000,0.0814,0.1086,0.1578,0.4182,0.5704,0.6863,0.7432,0.7895,0.8200,0.8908,0.9590,0.9773
87,0.5308,0.0000,0.1004,0.2681,0.2863,0.3445,0.3529,0.3613,0.4834,0.5466,0.5956,0.7437,0.7901,0.9560
88,0.4984,0.0000,0.0400,0.1064,0.1252,0.2911,0.3964,0.4075,0.6665,0.6815,0.7205,0.7341,0.8129,0.9252
89,0.5118,0.0000,0.0712,0.4553,0.4571,0.5888,0.6038,0.7609,0.7649,0.7759,0.7923,0.8295,0.9330,0.9866
90,0.5114,0.0000,0.0435,0.1503,0.1504,0.1679,0.2789,0.3016,0.3293,0.4435,0.6533,0.6722,0.8734,0.8981
91,0.5177,0.0000,0.0350,0.1367,0.1388,0.1951,0.2541,0.3972,0.5015,0.5116,0.7325,0.8428,0.8866,0.9416
92,0.5317,0.0000,0.0553,0.1420,0.1857,0.2479,0.3404,0.3928,0.4639,0.5596,0.5613,0.6044,0.6152,0.6993
93,0.5200,0.0000,0.1032,0.1277,0.4017,0.4232,0.4963,0.5147,0.6384,0.8078,0.8155,0.8158,0.9526,0.9732
94,0.5279,0.0000,0.0970,0.3808,0.4112,0.4641,0.4832,0.5474,0.6098,0.6598,0.6997,0.8898,0.9109,0.9630
95,0.5191,0.0000,0.2019,0.3015,0.3165,0.3673,0.3683,0.5791,0.5905,0.6413,0.7419,0.9872,0.9889,0.9968
96,0.5063,0.0000,0.1419,0.1469,0.1834,0.4197,0.4214,0.4375,0.6513,0.6901,0.7078,0.8386,0.8517,0.8689
97,0.5252,0.0000,0.0135,0.1828,0.1946,0.3536,0.3919,0.4505,0.4536,0.5116,0.6440,0.8025,0.9042,0.9506
98,0.5316,0.0000,0.0651,0.0769,0.2129,0.2997,0.3957,0.4032,0.4993,0.5920,0.6037,0.6928,0.8442,0.9311
99,0.5132,0.0000,0.0122,0.1673,0.2065,0.2809,0.2863,0.3240,0.5678,0.7711,0.7737,0.8797,0.8814,0.9964
100,0.5117,0.0000,0.1387,0.1443,0.1691,0.2732,0.5350,0.6061,0.6234,0.6299,0.6391,0.7933,0.8435,0.8871
