trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11,sup_12
21,0.5222,0.0000,0.0073,0.0334,0.2483,0.2779,0.3114,0.3184,0.4282,0.5903,0.7132,0.8811,0.9819
22,0.5194,0.0000,0.0805,0.4146,0.4213,0.5422,0.5692,0.6618,0.7289,0.7890,0.8302,0.8429,0.9263
23,0.5201,0.0000,0.0137,0.0192,0.2889,0.3560,0.5699,0.6122,0.7236,0.8595,0.9157,0.9736,0.9874
24,0.5124,0.0000,0.1146,0.2947,0.5389,0.5402,0.5851,0.6319,0.6328,0.8490,0.9559,0.9616,0.9674
25,0.5248,0.0000,0.0283,0.1021,0.1138,0.3397,0.4660,0.5059,0.6038,0.6380,0.6502,0.7569,0.8904
26,0.5186,0.0000,0.0503,0.0679,0.3858,0.5281,0.5316,0.5756,0.6144,0.6451,0.8013,0.9410,0.9522
27,0.5184,0.0000,0.0106,0.0413,0.2176,0.2570,0.2670,0.4209,0.4397,0.6239,0.7915,0.9620,0.9649
28,0.5251,0.0000,0.1311,0.2484,0.2768,0.3035,0.3300,0.4918,0.5302,0.5847,0.8979,0.9104,0.9514
29,0.5159,0.0000,0.0055,0.0725,0.1235,0.2762,0.3627,0.3876,0.4630,0.6688,0.7767,0.9161,0.9670
30,0.4991,0.0000,0.0781,0.2010,0.3232,0.3663,0.6362,0.6867,0.6963,0.7457,0.8436,0.9134,0.9949
31,0.5258,0.0000,0.1331,0.2631,0.2835,0.3335,0.4063,0.5166,0.5292,0.5428,0.7141,0.7735,0.9631
32,0.5239,0.0000,0.1763,0.2797,0.4473,0.4543,0.4813,0.5723,0.5817,0.6874,0.8207,0.8949,0.9239
33,0.5258,0.0000,0.0157,0.0524,0.2943,0.3447,0.5184,0.5344,0.5851,0.6381,0.8011,0.9016,0.9101
34,0.5267,0.0000,0.3266,0.4224,0.4226,0.4884,0.5479,0.6714,0.6823,0.7243,0.8057,0.8217,0.9802
35,0.5212,0.0000,0.0910,0.1248,0.4189,0.5035,0.5646,0.5802,0.6208,0.8330,0.8974,0.9107,0.9810
36,0.5204,0.0000,0.1128,0.2439,0.2458,0.4246,0.4788,0.5051,0.5345,0.7105,0.7222,0.8454,0.9905
37,0.5267,0.0000,0.1903,0.2345,0.2750,0.2865,0.3371,0.5005,0.5016,0.5715,0.7328,0.8794,0.9905
38,0.5042,0.0000,0.0844,0.0982,0.1420,0.1655,0.2594,0.3661,0.6228,0.6254,0.8382,0.8926,0.9355
39,0.5121,0.0000,0.0009,0.0698,0.2265,0.2515,0.3243,0.4275,0.4499,0.4811,0.8767,0.9246,0.9748
40,0.5306,0.0000,0.2271,0.2322,0.2629,0.2733,0.2917,0.3534,0.3806,0.4786,0.5751,0.7763,0.9961
41,0.5178,0.0000,0.1008,0.1232,0.2986,0.3598,0.3611,0.3719,0.5167,0.7284,0.7772,0.8879,0.9445
42,0.5111,0.0000,0.1182,0.1419,0.2336,0.2641,0.3618,0.3816,0.4645,0.4724,0.8114,0.8156,0.9473
43,0.5194,0.0000,0.0316,0.1862,0.1884,0.2878,0.4358,0.4950,0.5266,0.7386,0.7503,0.8309,0.8867
44,0.5008,0.0000,0.0232,0.0303,0.0537,0.2048,0.5311,0.5684,0.5875,0.6092,0.7726,0.7749,0.9616
45,0.4863,0.0000,0.0445,0.1810,0.1929,0.2152,0.2478,0.2774,0.3391,0.3524,0.4069,0.8942,0.9623
46,0.5072,0.0000,0.0055,0.0351,0.0613,0.3589,0.4628,0.7637,0.7739,0.8103,0.9089,0.9338,0.9505
47,0.5212,0.0000,0.0296,0.0967,0.1499,0.2963,0.4093,0.4849,0.6569,0.6832,0.7191,0.7541,0.8212
48,0.5282,0.0000,0.0913,0.2539,0.3131,0.3815,0.4266,0.5596,0.5766,0.5846,0.6005,0.8676,0.8763
49,0.5176,0.0000,0.0170,0.0264,0.0788,0.3780,0.4129,0.5891,0.6239,0.7487,0.8776,0.9521,0.9788
50,0.5290,0.0000,0.0246,0.0988,0.1610,0.2712,0.4029,0.4606,0.5347,0.5585,0.6198,0.6813,0.9667
51,0.5274,0.0000,0.0170,0.3800,0.4235,0.5112,0.5535,0.5590,0.6016,0.6946,0.7420,0.7939,0.8971
52,0.5178,0.0000,0.0433,0.1916,0.2356,0.3774,0.4717,0.6622,0.6702,0.7023,0.7243,0.8008,0.8513
53,0.4945,0.0000,0.1543,0.2164,0.2580,0.2602,0.3121,0.6338,0.6697,0.7331,0.7568,0.7582,0.9551
54,0.5221,0.0000,0.1909,0.2836,0.2861,0.3134,0.5007,0.5316,0.6494,0.8584,0.8618,0.9019,0.9566
55,0.5291,0.0000,0.0545,0.1912,0.2224,0.3673,0.4616,0.5535,0.5810,0.6040,0.6622,0.8696,0.9391
56,0.5240,0.0000,0.1204,0.1781,0.3384,0.4651,0.5183,0.6154,0.6833,0.7639,0.8339,0.9729,0.9934
57,0.5161,0.0000,0.1151,0.3532,0.3563,0.5067,0.7571,0.8187,0.8534,0.8786,0.8838,0.9831,0.9863
58,0.5240,0.0000,0.0147,0.0721,0.0896,0.2475,0.3150,0.4211,0.4707,0.5007,0.5263,0.7002,0.8585
59,0.5219,0.0000,0.0802,0.1397,0.1639,0.2612,0.3659,0.4060,0.4544,0.5076,0.8826,0.9443,0.9763
60,0.5230,0.0000,0.3229,0.3457,0.4005,0.4109,0.4245,0.5342,0.7188,0.7433,0.8021,0.8070,0.9428
61,0.5158,0.0000,0.0618,0.0968,0.1033,0.1459,0.1549,0.2847,0.4497,0.5191,0.7149,0.7838,0.8898
62,0.5098,0.0000,0.0923,0.4611,0.5080,0.6328,0.6855,0.7160,0.7733,0.7926,0.7965,0.8622,0.9651
63,0.5268,0.0000,0.0143,0.0927,0.3306,0.4483,0.4549,0.4554,0.5587,0.6115,0.8452,0.8720,0.9958
64,0.5142,0.0000,0.0582,0.4475,0.4986,0.5912,0.6172,0.7313,0.7748,0.8136,0.8172,0.8464,0.9144
65,0.5232,0.0000,0.0769,0.1585,0.3898,0.4095,0.5395,0.5843,0.6608,0.6893,0.7646,0.7953,0.9537
66,0.5152,0.0000,0.0108,0.0688,0.2205,0.2593,0.3007,0.3042,0.5410,0.6619,0.7383,0.9640,0.9970
67,0.5305,0.0000,0.1992,0.2084,0.3126,0.3179,0.4196,0.5044,0.5577,0.6142,0.6520,0.6566,0.9281
68,0.5200,0.0000,0.3738,0.3889,0.4154,0.4479,0.5083,0.7851,0.7875,0.7930,0.8264,0.9539,0.9662
69,0.5094,0.0000,0.2034,0.2883,0.2914,0.5700,0.5801,0.6735,0.6936,0.7458,0.7993,0.9180,0.9529
70,0.5283,0.0000,0.0059,0.0761,0.3376,0.3530,0.4344,0.4346,0.4671,0.5754,0.6092,0.7530,0.7760
71,0.5078,0.0000,0.1363,0.1581,0.4995,0.5459,0.5882,0.5904,0.6021,0.6651,0.6863,0.7384,0.9828
72,0.5206,0.0000,0.0732,0.1292,0.1541,0.2326,0.2450,0.4531,0.4821,0.4892,0.5929,0.6124,0.9391
73,0.5136,0.0000,0.1665,0.1777,0.1848,0.4649,0.4717,0.5320,0.6091,0.7568,0.7584,0.8035,0.8241
74,0.5191,0.0000,0.0790,0.0945,0.1168,0.3063,0.3361,0.4326,0.4682,0.6462,0.6598,0.8360,0.9464
75,0.5047,0.0000,0.1247,0.1609,0.1795,0.2064,0.2870,0.3092,0.4343,0.4618,0.9045,0.9268,1.0000
76,0.5286,0.0000,0.0911,0.0930,0.1342,0.1506,0.1984,0.3402,0.4494,0.5376,0.5938,0.6030,0.9043
77,0.5169,0.0000,0.1558,0.2107,0.2221,0.2384,0.2736,0.2806,0.2916,0.3861,0.5104,0.7711,0.8797
78,0.5260,0.0000,0.1125,0.1255,0.1377,0.3290,0.3575,0.3692,0.5146,0.5409,0.6325,0.6491,0.8818
79,0.4636,0.0000,0.0220,0.0932,0.1041,0.3057,0.6902,0.6943,0.7341,0.7537,0.8560,0.8580,0.8667
80,0.5055,0.0000,0.0051,0.1863,0.2665,0.2785,0.2976,0.3677,0.4343,0.4533,0.8673,0.9637,0.9799
81,0.5186,0.0000,0.1050,0.1230,0.1528,0.3274,0.3353,0.3927,0.5516,0.7034,0.8183,0.9016,0.9870
82,0.5316,0.0000,0.0177,0.2344,0.3276,0.3564,0.4279,0.4974,0.5928,0.7015,0.7709,0.7933,0.9641
83,0.5121,0.0000,0.1219,0.1650,0.1979,0.2699,0.3018,0.4577,0.6575,0.7015,0.8658,0.9318,0.9999
84,0.4926,0.0000,0.1078,0.2285,0.2814,0.2902,0.3486,0.4007,0.6907,0.7305,0.8463,0.9185,0.9696
85,0.5152,0.0000,0.0696,0.3090,0.3655,0.3886,0.4477,0.4751,0.7193,0.7522,0.8171,0.9309,0.9499
86,0.4640,0.0000,0.1940,0.2439,0.2746,0.3308,0.3316,0.3431,0.6979,0.7908,0.8010,0.8253,0.8614
87,0.5176,0.0000,0.0370,0.0677,0.0738,0.2665,0.3971,0.5785,0.6329,0.7609,0.7839,0.9096,0.9696
88,0.5251,0.0000,0.1236,0.2842,0.3727,0.4380,0.5761,0.6108,0.6951,0.7175,0.7355,0.9424,0.9702
89,0.5186,0.0000,0.0414,0.1062,0.3319,0.3688,0.4008,0.4740,0.6485,0.7903,0.9115,0.9358,0.9622
90,0.5168,0.0000,0.0230,0.0252,0.1165,0.1339,0.1699,0.2478,0.4285,0.6173,0.7423,0.7688,0.8574
91,0.5288,0.0000,0.0078,0.1537,0.2566,0.3180,0.4445,0.4951,0.5646,0.5890,0.9215,0.9346,0.9668
92,0.5137,0.0000,0.0424,0.2049,0.3012,0.4929,0.6597,0.6603,0.7595,0.8100,0.8267,0.8519,0.9898
93,0.5248,0.0000,0.0818,0.1360,0.1395,0.2935,0.3462,0.4852,0.5678,0.6645,0.8049,0.9586,0.9590
94,0.5257,0.0000,0.0341,0.0982,0.1171,0.2380,0.3376,0.5085,0.6082,0.6645,0.8677,0.8758,0.9016
95,0.4641,0.0000,0.0380,0.0558,0.0937,0.1284,0.1348,0.2677,0.3510,0.3650,0.8006,0.8497,0.9050
96,0.5253,0.0000,0.0249,0.2343,0.2807,0.4154,0.4525,0.4715,0.5416,0.6889,0.6986,0.8175,0.9714
97,0.5174,0.0000,0.0257,0.0825,0.2849,0.2873,0.4752,0.5037,0.5461,0.5604,0.7744,0.8797,0.9417
98,0.5056,0.0000,0.0586,0.1661,0.3236,0.4140,0.6296,0.6974,0.7786,0.8135,0.8164,0.8284,0.8516
99,0.5299,0.0000,0.0702,0.1147,0.2002,0.3080,0.3152,0.4295,0.5008,0.6033,0.6118,0.6229,0.9636
100,0.5010,0.0000,0.0857,0.1480,0.3000,0.3892,0.6341,0.6975,0.8096,0.9049,0.9146,0.9529,0.9561
